education_key,literacy_rate_percent_m_15_24,literacy_rate_percent_15_24,literacy_rate_percent_f_15_plus,literacy_rate_percent_m_15_plus,literacy_percent_15_plus,primary_completion_rate_percent_f,primary_completion_rate_percent_m,primary_completion_rate_percent,primary_enroll_rate_percent_gross,pimary_enroll_rate_percent_gross_f,pimary_enroll_rate_percent_gross_m,primary_enroll_rate_percent_net,primary_enroll_rate_percent_net_f,primary_enroll_rate_percent_net_m,secondary_enroll_rate_percent_gross,secondary_enroll_rate_percent_gross_f,secondary_enroll_rate_percent_gross_m,secondary_enroll_rate_percent_net,secondary_enroll_rate_percent_net_f,secondary_enroll_rate_percent_net_m,tertiary_enroll_rate_percent_gross,spending_education_percent_gdp
3032,46.26459503173825,34.78201484680175,13.9443197250366,35.123496055603056,24.157270431518597,20.3276596069336,39.7669105529785,30.0958194732666,71.6145706176758,57.7772216796875,85.311767578125,73.0023875,63.52295,82.4396225,15.6400203704834,8.02972984313965,23.1702308654785,18.648225,12.13127,25.11402,1.4206999540329,1.69476997852325
3033,46.26459503173825,34.78201484680175,13.9443197250366,35.123496055603056,24.157270431518597,20.4008197784424,38.7018508911133,29.5975303649902,70.9291381835938,57.3852882385254,84.3376312255859,73.0023875,63.52295,82.4396225,16.0604991912842,8.46424961090088,23.5757503509521,18.648225,12.13127,25.11402,2.3383886132921496,2.3074974715709673
3034,46.26459503173825,34.78201484680175,13.9443197250366,35.123496055603056,24.157270431518597,26.82891811024059,43.09895012595439,34.99367211081767,69.7853317260742,57.3603286743164,82.0851669311523,73.0023875,63.52295,82.4396225,18.5013999938965,11.4395704269409,25.4904308319092,18.648225,12.13127,25.11402,2.3383886132921496,2.3074974715709673
3035,46.26459503173825,34.78201484680175,13.9443197250366,35.123496055603056,24.157270431518597,26.82891811024059,43.09895012595439,34.99367211081767,77.7206497192383,64.1906509399414,91.1190719604492,73.0023875,63.52295,82.4396225,20.9453105926514,12.1979598999023,29.6043796539307,18.648225,12.13127,25.11402,1.94304001331329,2.3074974715709673
3036,46.26459503173825,34.78201484680175,13.9443197250366,35.123496055603056,24.157270431518597,22.7014408111572,39.3601303100586,31.0771808624268,81.9750595092773,67.8360824584961,95.9881591796875,73.0023875,63.52295,82.4396225,22.9927196502686,13.4071397781372,32.4814186096191,18.648225,12.13127,25.11402,2.00883007049561,2.31173992156982
3037,46.26459503173825,34.78201484680175,13.9443197250366,35.123496055603056,24.157270431518597,23.1339702606201,38.5011596679688,30.8605804443359,81.9184799194336,69.1014709472656,94.6383514404297,73.0023875,63.52295,82.4396225,22.5885696411133,13.3939695358276,31.6873207092285,18.648225,12.13127,25.11402,2.09606003761292,1.98194003105164
3038,46.26459503173825,34.78201484680175,13.9443197250366,35.123496055603056,24.157270431518597,26.0040893554688,41.79296875,33.9375915527344,88.6454772949219,75.7274780273438,101.487396240234,61.66744,53.49643,69.79032,23.0659408569336,14.0074901580811,32.025821685791,18.648225,12.13127,25.11402,2.21495008468628,2.25789999961853
3039,46.26459503173825,34.78201484680175,13.9443197250366,35.123496055603056,24.157270431518597,26.2705497741699,42.4699592590332,34.4006614685059,92.8953323364258,79.7950210571289,105.93335723877,73.0023875,63.52295,82.4396225,22.3210906982422,13.9688997268677,30.5871906280518,18.648225,12.13127,25.11402,2.3383886132921496,2.20615005493164
3040,46.26459503173825,34.78201484680175,13.9443197250366,35.123496055603056,24.157270431518597,29.1114196777344,46.1634902954102,37.6621894836426,100.132751464844,86.3178176879883,113.890258789063,78.09266,67.37677,88.764,24.6756496429443,15.5000896453857,33.7620887756348,18.648225,12.13127,25.11402,2.3383886132921496,2.85070991516113
3041,46.26459503173825,34.78201484680175,13.9443197250366,35.123496055603056,24.157270431518597,26.82891811024059,43.09895012595439,34.99367211081767,101.584831237793,87.3128509521484,115.800300598145,73.0023875,63.52295,82.4396225,23.0396595001221,14.2842597961426,31.7155208587646,18.648225,12.13127,25.11402,3.43384003639221,2.59999990463257
