qol_key,unemployment_female,unemployment_male,unemployment_total,people_basic_handwashing_facilities,people_basic_handwashing_facilities_rural,people_basic_handwashing_facilities_urban,people_using_at_least_basic_sanitation_services,people_using_at_least_basic_sanitation_services_rural,people_using_at_least_basic_sanitation_services_urban,people_using_at_least_basic_drinking_water_services,people_using_at_least_basic_drinking_water_services_rural,people_using_at_least_basic_drinking_water_services_urban
5076,6.70499992370605,5.74399995803833,6.1100001335144,70.44077974,58.38390598,82.92266464,58.79885691,45.54225487,,83.57565413,74.60045358,92.86723523
5077,8.10400009155273,6.66300010681152,7.21000003814697,70.24471508,58.38390598,82.92266464,56.38531405,42.80959012,,82.70159068,73.59240874,92.43834203
5078,9.9040002822876,6.94600009918213,8.0600004196167,70.04840506,58.38390598,82.92266464,53.99525073,40.13927184,,81.81767312,72.58351004,92.00953919
5079,9.2790002822876,6.58199977874756,7.55000019073486,69.85283043,58.38390598,82.92266464,51.63089589,37.53130003,,80.92466101,71.57375745,91.5808267
5080,4.88399982452393,4.89400005340576,4.8899998664856,89.68317442,83.50700895,91.38427265,86.70980432,73.6870122,,96.71644433,90.25646908,98.49571228
5081,4.9539999961853,4.88399982452393,4.90999984741211,89.70633655,83.50700895,91.38427265,87.45178303,75.26604876,,97.15725463,91.26654406,98.75165915
5082,4.84800004959106,4.78800010681152,4.80999994277954,89.72949429,83.50700895,91.38427265,88.18573213,76.83533882,,97.5936259,92.27661905,99.00760603
5083,4.44700002670288,4.22800016403198,4.30999994277954,89.75249473,83.50700895,91.38427265,88.91148404,78.39488239,,98.02544354,93.28669403,99.2635529
5084,3.91000008583069,3.82999992370605,3.85999989509583,89.77550185,83.50700895,91.38427265,89.62944687,79.94467945,,98.45286453,94.29676901,99.51949977
5085,3.60199999809265,3.31200003623962,3.42000007629395,89.79834169,83.50700895,91.38427265,90.33947554,81.48473002,,98.87578129,95.30684399,99.77544665
5086,3.42899990081787,3.18899989128113,3.27999997138977,89.82111114,83.50700895,91.38427265,91.04184497,83.01503408,,99.26913243,96.31691897,100
5087,3.51699995994568,3.45700001716614,3.48000001907349,89.84379235,83.50700895,91.38427265,91.73666093,84.53559165,,99.47726394,97.32699395,100
5088,4.09700012207031,4.66699981689453,4.44999980926514,89.75225136444443,83.50700895,91.38427264999999,92.42406261,86.04640272,,99.67956828,98.33706893,100
5089,3.90899991989136,3.36800003051758,3.55999994277954,89.75225136444443,83.50700895,91.38427264999999,81.27377788,62.36085428,,93.09668937,81.80368497,96.60292525
5090,5.13199996948242,5.19199991226196,5.17000007629395,89.66001526,83.50700895,91.38427265,85.95971004,72.09822913,,96.27120298,89.2463941,98.23976541
5091,5.17999982833862,5.36999988555908,5.30000019073486,89.75225136444443,83.50700895,91.38427264999999,85.20102819,70.49969957,,95.82133427,88.23631912,97.98381853
5092,5.35400009155273,5.36399984359741,5.3600001335144,89.75225136444443,83.50700895,91.38427264999999,84.43419231,68.89142351,,95.36710258,87.22624414,97.72787166
5093,4.02899980545044,3.77900004386902,3.86999988555908,89.75225136444443,83.50700895,91.38427264999999,83.65830449,67.27340096,,94.90809059,86.21616916,97.47192479
5094,4,3.41899991035461,3.63000011444092,89.75225136444443,83.50700895,91.38427264999999,82.87293106,65.6456319,,94.32032157,84.77669523,97.18390312
5095,3.89000010490417,3.38899993896484,3.5699999332428,89.75225136444443,83.50700895,91.38427264999999,82.07830717,64.00811634,,93.71099729,83.2843433,96.89332254
5096,3.72499990463257,3.35500001907349,3.5,81.59789032,78.50946537,85.26573253,71.20451811,66.80412438,,90.75373191,86.49561486,95.81071137
5097,3.82200002670288,3.29099988937378,3.5,81.61079482,78.50946537,85.26573253,72.5527742,68.64569567,,91.17639999,87.06648776,96.01995934
5098,3.72099995613098,3.52099990844727,3.59999990463257,81.62363144,78.50946537,85.26573253,73.91067261,70.51097516,,91.59766387,87.63733691,96.22937292
5099,3.22099995613098,2.97099995613098,3.0699999332428,81.63653602,78.50946537,85.26573253,75.27825227,72.39996285,,92.01770102,88.20816233,96.43895214
5100,2.85199999809265,2.60199999809265,2.70000004768372,81.6494406,78.50946537,85.26573253,76.65530655,74.31265874,,92.43642247,88.778964,96.64869697
5101,2.69799995422363,2.45799994468689,2.54999995231628,81.66342606,78.50946537,85.26573253,78.04232901,76.24906284,,92.85503057,89.34974192,96.85860742
5102,2.67700004577637,2.12700009346008,2.33999991416931,81.67862742,78.50946537,85.26573253,79.43866535,78.20917513,,93.27349616,89.9204961,97.06868349
5103,2.53200006484985,2.05100011825562,2.24000000953674,81.6949777,78.50946537,85.26573253,80.8435005,80.19299563,,93.69155849,90.49122653,97.27892518
5104,2.71399998664856,2.39499998092651,2.51999998092651,81.71247639,78.50946537,85.26573253,82.25604781,82.20052433,,94.10903456,91.06193322,97.4893325
5105,4.20499992370605,3.54399991035461,3.79999995231628,81.64528542,78.50946537000002,85.26573253000001,63.08476508,55.62111637,,87.91628549,82.49883972,94.35061297
5106,3.82699990272522,3.43700003623962,3.58999991416931,81.58505343,78.50946537,85.26573253,69.86620672,64.9862613,,90.32984172,85.92471821,95.60162902
5107,3.79299998283386,3.49300003051758,3.60999989509583,81.64528542,78.50946537000002,85.26573253000001,68.53787476,63.19210641,,89.90463834,85.35379782,95.39271229
5108,4.13500022888184,3.68499994277954,3.85999989509583,81.64528542,78.50946537000002,85.26573253000001,67.24905618,61.42165973,,89.50194018,84.78285369,95.18396119
