population_key,birth_rate,population_ages_0-14_female,population_ages_0-14_male,population_ages_15-64_female,population_ages_15-64_male,population_ages_65_and_above_female,population_ages_65_and_above_male,population_total,population_growth,mortality_rate_infant,life_expectancy_at_birth_female,life_expectancy_at_birth_male
6106,22.273,31.5976935460271,32.9573743363335,63.0413449956654,63.1894990266354,4.60214198335079,5.3609614583075,102113206,1.57936252126472,23.4,75.007,66.644
6107,21.623,31.2344368901441,32.6002720078869,63.2168929511533,63.4127011539211,4.76295798333335,5.54867015870255,103663812,1.50710255674413,23,75.143,66.81
6108,21.036,30.7954451731141,32.1327941985917,63.4513160428758,63.7368086845631,4.93709669099723,5.75323878401005,105172921,1.44527760718223,22.6,75.268,66.971
6109,20.546,30.3130785384273,31.6061930154094,63.7139152671157,64.112759143574,5.12256876829946,5.97300619445694,106651394,1.39596533979435,22.1,75.387,67.123
6110,20.166,29.8426633184977,31.1030959676171,63.953439137704,64.4623786491777,5.31499621959123,6.20389754379834,108116622,1.36449622326603,21.5,75.505,67.263
6111,23.843466666666664,29.4142515818776,30.6656665847399,64.1426716326693,64.7460508197295,5.51164864430335,6.44307678545307,109581085,1.34542996462104,20.9,74.33466666666666,66.2964
6112,39.321,42.321470900307,43.2419934605803,54.6816797792126,54.2183362330595,2.77063389668617,2.99684932048041,5611643,2.59726914662684,66.3,55.333,53.849
6113,39.007,42.3571474473194,43.2637910366149,54.6498021781198,54.1916058522086,2.77101032816925,2.99305037456086,5762881,2.65939767419675,64.6,55.753,54.328
6114,38.626,42.3873539640353,43.2764998126161,54.6288886724587,54.1788648050134,2.76625116821463,2.98375736350593,5920360,2.69597345840379,62.9,56.259,54.882
6115,38.193,42.4088376472091,43.2787998837776,54.620696892204,54.1810231025292,2.75726482800793,2.97046546058689,6083417,2.71692868326481,61.4,56.84,55.493
6116,37.717,42.4084570417489,43.2581873463854,54.6366618623947,54.2104831845879,2.74481729240973,2.95488109585633,6250840,2.71493100269683,59.8,57.476,56.137
6117,37.207,42.376471744332,43.2041920710892,54.684906649823,54.2770934379447,2.73034513248015,2.93862160584492,6421674,2.6962976659218,58.3,58.133,56.781
6118,36.673,42.3426997099254,43.1602229523622,54.6984675226645,54.3009368092884,2.75041794630427,2.95883276741004,6595939,2.67753252488233,56.7,58.773,57.388
6119,36.125,42.2633243342047,43.069155592351,54.7603670518731,54.3765850188656,2.76680372889168,2.97630861392214,6773807,2.66091060739875,55.2,59.365,57.936
6120,35.574,42.1387244108567,42.9310703276428,54.8694240709391,54.5027215253282,2.78048497121812,2.9918515182042,6954721,2.63574468461472,53.7,59.889,58.41
6121,35.032,41.9703389417677,42.7467205925074,55.0236931600075,54.6779538640742,2.79207060801345,3.00596789822477,7137997,2.60114952364707,52.2,60.334,58.806
6122,34.51,41.7598406732629,42.5170763506765,55.2205398609962,54.9001307624954,2.80254775330534,3.01961946574084,7323162,2.56099971332713,50.8,60.706,59.128
6123,34.016,41.5374624671132,42.2758893403469,55.4146103330532,55.1176151302658,2.82848716323182,3.04792719983353,7509952,2.51868723622311,49.4,61.023,59.398
6124,33.55,41.2817051858492,41.9974494841358,55.6459481557163,55.3768934549562,2.85022720087124,3.07234665843454,7698476,2.47933129149683,48.1,61.317,59.644
6125,33.113,40.9912111221895,41.6815156034267,55.9140720388411,55.6766183217061,2.86946801108822,3.09471683896942,7889095,2.44590389318048,46.8,61.612,59.892
6126,32.707,40.6681121979815,41.3320894204563,56.215517935413,56.0119940924916,2.88734759103955,3.11636986660554,8082359,2.42023592434892,45.5,61.918,60.152
6127,36.0914,40.3192531110156,40.9564101991453,56.5420224829318,56.3745386468528,2.90502497727911,3.13872440605261,8278737,2.40066351625992,44.4,58.98206666666667,57.48160000000001
6128,14,20.1281270547875,21.6540966834618,65.907872119329,67.7302643015539,12.3117114938844,13.9640008258835,295516599,0.921713167161207,6.7,80.1,75
6129,14.3,20.0731198792165,21.5812193485443,65.9292400655749,67.6963623081683,12.3809160556302,13.9976400552086,298379912,0.964253917136075,6.7,80.3,75.2
6130,14.3,19.9549980938249,21.4435490470839,65.9812275964645,67.7169471222532,12.4718681790523,14.0637743097106,301231207,0.951055242772428,6.6,80.6,75.5
6131,14,19.8006883221194,21.267240349515,66.0281897238116,67.7533099857228,12.5951145979011,14.1711219540691,304093966,0.945865287282592,6.5,80.6,75.6
6132,13.5,19.6459642296047,21.0904012194301,66.0258599811064,67.7515996953805,12.7626484656842,14.3281757892889,306771529,0.876651298802912,6.4,80.9,76
6133,13,19.501338866698,20.9257300149773,65.9586005699634,67.6894810469317,12.9817726024576,14.5400605633385,309327143,0.829616674709795,6.2,81,76.2
6134,12.7,19.3415591372676,20.7251314688219,65.8658095614106,67.6039540796811,13.2502621355322,14.7926313013218,311583481,0.726786704810745,6.1,81.1,76.3
6135,12.6,19.1559776647866,20.5059359734318,65.7524877074301,67.498364180454,13.5614320272468,15.0915346277833,313877662,0.733599941250847,6,81.2,76.4
6136,12.4,18.9633278866872,20.2856385591052,65.6100803118735,67.3654210811618,13.9050443081105,15.4265918014393,316059947,0.692860276624581,6,81.2,76.4
6137,12.5,18.7742938315682,20.0724561819967,65.4406396868921,67.2109241050275,14.2676996042196,15.7850664815396,318386329,0.733361519937424,5.9,81.3,76.5
6138,12.4,18.5925591604973,19.8686305754807,65.2460999099375,67.0399868199102,14.6428847122761,16.1613409295653,320738994,0.73621730882542,5.8,81.2,76.3
6139,12.2,18.4026326644684,19.6573709254641,65.051278947516,66.8537256836091,15.0336787501808,16.5460883880156,323071755,0.724676067451429,5.7,81.1,76.1
6140,11.8,18.2466676142417,19.4833737078997,64.8244160670525,66.6387612512319,15.4193658960742,16.9289163187058,325122128,0.63264399508256,5.7,81.1,76.1
6141,11.6,18.1048535943438,19.3259514439618,64.576790382131,66.4088716329403,15.8076540556035,17.3183560235252,326838199,0.526435395564053,5.6,81.2,76.2
6142,11.4,17.9519833351839,19.1591807905675,64.321850895079,66.17957827562,16.2096061428511,17.7261657697371,328329953,0.455381285963537,5.5,81.4,76.3
6143,12.846666666666668,17.7805292584803,18.9753495194608,64.0610980853932,65.9531641577996,16.6309257142475,18.1583726561265,329484123,0.350911063312921,5.4,80.95333333333335,76.00666666666666
